country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185,135,557,154,2800,,,,,,17
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,59,,766,,,,,,,,,115,188,18,39,,,329,,2420,515,229
Argentina,,,,,,,,,,,,,,,,,,,,,,,67,,,,,,,,,,,,,,,,
Bahrain,,,,,,,,,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,,,,,,,,260,129,,,,2700,500,950,900,165,750,,20,,2700,200,38,,400,20,64,151,,31,,96,,32,,,86,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,
Benin,,,,,,,1,,,,,,,,,,,65,,228,,,,,,,65,47,78,9,351,378,50,3,,4,,,33
Bhutan,,,,,,,,,,,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,,,,,,,,,,,,,,,,,,,,67,,329,,,,,,18,5,33,,,,,,,,1,
Botswana,,,,,,,,,,,,,,,,,,,183,,,,,,,,,,,,,,,,,,470,,
Brazil,,,,,1500,,,,,,,,,,300,,,,,,,196,,,,2,,,13,3,,,57,,,,,,123
Burkina Faso,,,,,,,,,,241,,1090,,,,,,,,,,37,,,,,4140,2270,26,,,2980,,1060,527,9,784,1490,250
Burundi,,,,,,,,,54,,,,,,,,,,,,,,220,,,,,21,,80,308,,87,6,,,,,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,50,,,,,3,490,56,,,,,7,,,182,
Cameroon,,,,,,,,,,,,,,,,,,,39,100,118,308,731,513,,,378,109,239,14,22,31,,,46,42,8,,
Canada,,,,,,,,,,,,,,,,,,,,,,18,17,,,,,,,,,1,45,,,,,,
